Table Name,Column Name,Description
accounts,account_id,"Unique identifier for the account (company)."
accounts,account_name,"Name of the company."
accounts,industry,"Industry sector of the company."
accounts,annual_revenue,"Annual revenue in USD. Key metric for prioritization."
accounts,region,"Geographical region of the account."
accounts,customer_status,"Current status: Active, Prospect, or Churned."
accounts,health_score,"Score from 0-100 indicating customer health and likelihood to renew (Active customers only)."
leads,lead_id,"Unique identifier for the lead (person)."
leads,account_id,"Foreign key linking to the accounts table."
leads,first_name,"First name of the lead."
leads,last_name,"Last name of the lead."
leads,title,"Job title of the lead."
leads,email,"Email address."
leads,lead_score,"AI-generated score (0-100) indicating lead quality and conversion probability."
leads,last_active_date,"Date of last activity or engagement."
interactions,interaction_id,"Unique identifier for the interaction."
interactions,lead_id,"Foreign key linking to the leads table."
interactions,type,"Type of interaction: Call, Email, Meeting."
interactions,date,"Date of the interaction."
interactions,notes,"Free text notes summarizing the interaction. Critical for generating talk tracks and understanding sentiment."
interactions,sentiment,"Sentiment of the interaction: Very Positive, Positive, Neutral, Negative, Very Negative."
